"","Obs1.Front","Obs2.Front"
"1",0,1
"2",0,1
"3",0,1
"4",0,1
"5",0,1
"6",0,1
"7",0,1
"8",0,1
"9",0,1
"10",0,1
"11",0,1
"12",0,1
"13",0,1
"14",0,1
"15",0,1
"16",0,1
"17",0,1
"18",0,1
"19",0,1
"20",0,1
"21",0,1
"22",0,1
"23",0,1
"24",0,1
"25",0,1
"26",0,1
"27",0,1
"28",0,1
"29",0,1
"30",0,1
"31",0,1
"32",0,1
"33",0,1
"34",1,0
"35",1,0
"36",1,0
"37",1,0
"38",1,0
"39",1,0
"40",1,0
"41",1,0
"42",1,0
"43",1,0
"44",1,0
"45",1,0
"46",1,0
"47",1,0
"48",1,0
"49",1,0
"50",1,0
"51",1,0
"52",1,0
"53",1,0
"54",1,0
"55",1,0
"56",1,0
"57",1,0
"58",1,0
"59",1,0
"60",1,0
"61",1,0
"62",1,0
"63",1,0
"64",1,0
"65",1,0
"66",1,0
"67",1,0
"68",1,0
"69",1,0
"70",1,0
"71",1,0
"72",1,0
"73",1,0
"74",1,0
"75",1,0
"76",1,0
"77",1,0
"78",1,0
"79",1,0
"80",1,0
"81",1,0
"82",1,0
"83",1,0
"84",1,0
"85",1,0
"86",1,0
"87",1,0
"88",1,0
"89",1,0
"90",1,0
"91",1,0
"92",0,1
"93",0,1
"94",0,1
"95",0,1
"96",0,1
"97",0,1
"98",0,1
"99",0,1
"100",0,1
"101",0,1
"102",0,1
"103",0,1
"104",0,1
"105",0,1
"106",0,1
"107",0,1
"108",0,1
"109",0,1
"110",0,1
"111",0,1
"112",0,1
"113",0,1
"114",0,1
"115",0,1
"116",0,1
"117",0,1
"118",0,1
"119",0,1
"120",0,1
"121",0,1
"122",0,1
"123",0,1
"124",0,1
"125",0,1
"126",0,1
"127",0,1
"128",0,1
"129",0,1
"130",0,1
"131",0,1
"132",0,1
"133",0,1
"134",0,1
"135",0,1
"136",0,1
"137",0,1
"138",0,1
"139",1,0
"140",1,0
"141",1,0
"142",1,0
"143",1,0
"144",1,0
"145",1,0
"146",1,0
"147",1,0
"148",1,0
"149",1,0
"150",1,0
"151",1,0
"152",1,0
"153",1,0
"154",1,0
"155",1,0
"156",1,0
"157",1,0
"158",1,0
"159",1,0
"160",1,0
"161",1,0
"162",1,0
"163",1,0
"164",1,0
"165",1,0
"166",1,0
"167",1,0
"168",1,0
"169",1,0
"170",1,0
"171",1,0
"172",1,0
"173",1,0
"174",1,0
"175",1,0
"176",1,0
"177",1,0
"178",1,0
"179",1,0
"180",1,0
"181",1,0
"182",1,0
"183",1,0
"184",1,0
"185",1,0
"186",1,0
"187",1,0
"188",1,0
"189",1,0
"190",1,0
"191",1,0
"192",1,0
"193",1,0
"194",1,0
"195",1,0
"196",1,0
"197",1,0
"198",1,0
"199",1,0
"200",1,0
"201",1,0
"202",1,0
"203",1,0
"204",1,0
"205",1,0
"206",1,0
"207",1,0
"208",1,0
"209",1,0
"210",1,0
"211",1,0
"212",1,0
"213",1,0
"214",1,0
"215",1,0
"216",1,0
"217",1,0
"218",1,0
"219",1,0
"220",1,0
"221",1,0
"222",1,0
"223",1,0
"224",1,0
"225",1,0
"226",1,0
"227",1,0
"228",1,0
"229",1,0
"230",1,0
"231",1,0
"232",1,0
"233",1,0
"234",1,0
"235",1,0
"236",1,0
"237",1,0
"238",1,0
"239",1,0
"240",1,0
"241",1,0
"242",1,0
"243",1,0
"244",1,0
"245",1,0
"246",0,1
"247",0,1
"248",0,1
"249",0,1
"250",0,1
"251",0,1
"252",0,1
"253",0,1
"254",0,1
"255",0,1
"256",0,1
"257",0,1
"258",0,1
"259",0,1
"260",0,1
"261",0,1
"262",0,1
"263",0,1
"264",0,1
"265",0,1
"266",0,1
"267",0,1
"268",0,1
"269",0,1
"270",0,1
"271",0,1
"272",0,1
"273",0,1
"274",0,1
"275",0,1
"276",0,1
"277",0,1
"278",0,1
"279",0,1
"280",0,1
"281",0,1
"282",0,1
"283",0,1
"284",0,1
"285",0,1
"286",0,1
"287",0,1
"288",0,1
"289",0,1
"290",0,1
"291",0,1
"292",0,1
"293",0,1
"294",0,1
"295",0,1
"296",0,1
"297",0,1
"298",0,1
"299",0,1
"300",0,1
"301",0,1
"302",0,1
"303",0,1
"304",0,1
"305",0,1
"306",0,1
"307",0,1
"308",0,1
"309",0,1
"310",0,1
"311",0,1
"312",0,1
"313",0,1
"314",0,1
"315",0,1
"316",0,1
"317",0,1
"318",0,1
"319",0,1
"320",0,1
"321",0,1
